country_name,2019_population
Aruba,106314.0
Afghanistan,38041754.0
Angola,31825295.0
Albania,2854191.0
Andorra,77142.0
Arab World,427870270.0
United Arab Emirates,9770529.0
Argentina,44938712.0
Armenia,2957731.0
American Samoa,55312.0
Antigua and Barbuda,97118.0
Australia,25364307.0
Austria,8877067.0
Azerbaijan,10023318.0
Burundi,11530580.0
Belgium,11484055.0
Benin,11801151.0
Burkina Faso,20321378.0
Bangladesh,163046161.0
Bulgaria,6975761.0
Bahrain,1641172.0
"Bahamas, The",389482.0
Bosnia and Herzegovina,3301000.0
Belarus,9466856.0
Belize,390353.0
Bermuda,63918.0
Bolivia,11513100.0
Brazil,211049527.0
Barbados,287025.0
Brunei Darussalam,433285.0
Bhutan,763092.0
Botswana,2303697.0
Central African Republic,4745185.0
Canada,37589262.0
Central Europe and the Baltics,102378579.0
Switzerland,8574832.0
Channel Islands,172259.0
Chile,18952038.0
China,1397715000.0
Cote d'Ivoire,25716544.0
Cameroon,25876380.0
"Congo, Dem. Rep.",86790567.0
"Congo, Rep.",5380508.0
Colombia,50339443.0
Comoros,850886.0
Cabo Verde,549935.0
Costa Rica,5047561.0
Caribbean small states,7401383.0
Cuba,11333483.0
Curacao,157538.0
Cayman Islands,64948.0
Cyprus,1198575.0
Czech Republic,10669709.0
Germany,83132799.0
Djibouti,973560.0
Dominica,71808.0
Denmark,5818553.0
Dominican Republic,10738958.0
Algeria,43053054.0
East Asia & Pacific (excluding high income),2093675040.0
Early-demographic dividend,3290290613.0
East Asia & Pacific,2340628292.0
Europe & Central Asia (excluding high income),399404587.0
Europe & Central Asia,921140092.0
Ecuador,17373662.0
"Egypt, Arab Rep.",100388073.0
Euro area,342597698.0
Eritrea,
Spain,47076781.0
Estonia,1326590.0
Ethiopia,112078730.0
European Union,447512041.0
Fragile and conflict affected situations,798138587.0
Finland,5520314.0
Fiji,889953.0
France,67059887.0
Faroe Islands,48678.0
"Micronesia, Fed. Sts.",113815.0
Gabon,2172579.0
United Kingdom,66834405.0
Georgia,3720382.0
Ghana,30417856.0
Gibraltar,33701.0
Guinea,12771246.0
"Gambia, The",2347706.0
Guinea-Bissau,1920922.0
Equatorial Guinea,1355986.0
Greece,10716322.0
Grenada,112003.0
Greenland,56225.0
Guatemala,16604026.0
Guam,167294.0
Guyana,782766.0
High income,1235852838.0
"Hong Kong SAR, China",7507400.0
Honduras,9746117.0
Heavily indebted poor countries (HIPC),801708035.0
Croatia,4067500.0
Haiti,11263077.0
Hungary,9769949.0
IBRD only,4816235953.0
IDA & IBRD total,6486934853.0
IDA total,1670698900.0
IDA blend,561572202.0
Indonesia,270625568.0
IDA only,1109126698.0
Isle of Man,84584.0
India,1366417754.0
Not classified,
Ireland,4941444.0
"Iran, Islamic Rep.",82913906.0
Iraq,39309783.0
Iceland,361313.0
Israel,9053300.0
Italy,60297396.0
Jamaica,2948279.0
Jordan,10101694.0
Japan,126264931.0
Kazakhstan,18513930.0
Kenya,52573973.0
Kyrgyz Republic,6456900.0
Cambodia,16486542.0
Kiribati,117606.0
St. Kitts and Nevis,52834.0
"Korea, Rep.",51709098.0
Kuwait,4207083.0
Latin America & Caribbean (excluding high income),613773119.0
Lao PDR,7169455.0
Lebanon,6855713.0
Liberia,4937374.0
Libya,6777452.0
St. Lucia,182790.0
Latin America & Caribbean,646430843.0
Least developed countries: UN classification,1033388876.0
Low income,668454965.0
Liechtenstein,38019.0
Sri Lanka,21803000.0
Lower middle income,2913363391.0
Low & middle income,6437681136.0
Lesotho,2125268.0
Late-demographic dividend,2298470832.0
Lithuania,2786844.0
Luxembourg,619896.0
Latvia,1912789.0
"Macao SAR, China",640445.0
St. Martin (French part),38002.0
Morocco,36471769.0
Monaco,38964.0
Moldova,2657637.0
Madagascar,26969307.0
Maldives,530953.0
Middle East & North Africa,456707404.0
Mexico,127575529.0
Marshall Islands,58791.0
Middle income,5769226171.0
North Macedonia,2083459.0
Mali,19658031.0
Malta,502653.0
Myanmar,54045420.0
Middle East & North Africa (excluding high income),389457086.0
Montenegro,622137.0
Mongolia,3225167.0
Northern Mariana Islands,57216.0
Mozambique,30366036.0
Mauritania,4525696.0
Mauritius,1265711.0
Malawi,18628747.0
Malaysia,31949777.0
North America,365892703.0
Namibia,2494530.0
New Caledonia,287800.0
Niger,23310715.0
Nigeria,200963599.0
Nicaragua,6545502.0
Netherlands,17332850.0
Norway,5347896.0
Nepal,28608710.0
Nauru,12581.0
New Zealand,4917000.0
OECD members,1359963500.0
Oman,4974986.0
Other small states,31360407.0
Pakistan,216565318.0
Panama,4246439.0
Peru,32510453.0
Philippines,108116615.0
Palau,18008.0
Papua New Guinea,8776109.0
Poland,37970874.0
Pre-demographic dividend,944902749.0
Puerto Rico,3193694.0
"Korea, Dem. Peoples Rep.",25666161.0
Portugal,10269417.0
Paraguay,7044636.0
West Bank and Gaza,4685306.0
Pacific island small states,2493696.0
Post-demographic dividend,1112914457.0
French Polynesia,279287.0
Qatar,2832067.0
Romania,19356544.0
Russian Federation,144373535.0
Rwanda,12626950.0
South Asia,1835776742.0
Saudi Arabia,34268528.0
Sudan,42813238.0
Senegal,16296364.0
Singapore,5703569.0
Solomon Islands,669823.0
Sierra Leone,7813215.0
El Salvador,6453553.0
San Marino,33860.0
Somalia,15442905.0
Serbia,6944975.0
Sub-Saharan Africa (excluding high income),1105594562.0
South Sudan,11062113.0
Sub-Saharan Africa,1106957898.0
Small states,41255486.0
Sao Tome and Principe,215056.0
Suriname,581363.0
Slovak Republic,5454073.0
Slovenia,2087946.0
Sweden,10285453.0
Eswatini,1148130.0
Sint Maarten (Dutch part),40733.0
Seychelles,97625.0
Syrian Arab Republic,17070135.0
Turks and Caicos Islands,38191.0
Chad,15946876.0
East Asia & Pacific (IDA & IBRD countries),2067984156.0
Europe & Central Asia (IDA & IBRD countries),460799505.0
Togo,8082366.0
Thailand,69625582.0
Tajikistan,9321018.0
Turkmenistan,5942089.0
Latin America & the Caribbean (IDA & IBRD countries),630644772.0
Timor-Leste,1293119.0
Middle East & North Africa (IDA & IBRD countries),384771780.0
Tonga,104494.0
South Asia (IDA & IBRD),1835776742.0
Sub-Saharan Africa (IDA & IBRD countries),1106957898.0
Trinidad and Tobago,1394973.0
Tunisia,11694719.0
Turkey,83429615.0
Tuvalu,11646.0
Tanzania,58005463.0
Uganda,44269594.0
Ukraine,44385155.0
Upper middle income,2855862780.0
Uruguay,3461734.0
United States,328239523.0
Uzbekistan,33580650.0
St. Vincent and the Grenadines,110589.0
